Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Sun Tiantian,2004,1,0,0
Patricia Tarabini,2004,0,0,1
Kristie Boogert,2000,0,1,0
Els Callens,2000,0,0,1
Alex Corretja,2000,0,0,1
Albert Costa,2000,0,0,1
Yelena Dementyeva,2000,0,1,0
Arnaud Di Pasquale,2000,0,0,1
Tommy Haas,2000,0,1,0
Yevgeny Kafelnikov,2000,1,0,0
Sébastien Lareau,2000,1,0,0
Daniel Nestor,2000,1,0,0
Miriam Oremans,2000,0,1,0
Monica Seles,2000,0,0,1
Dominique Van Roost,2000,0,0,1
Serena Williams,2000,1,0,0
Todd Woodbridge,2000,0,1,0
Mark Woodforde,2000,0,1,0
Clara Basiana,2012,0,0,1
Alba Cabello,2012,0,0,1
Chang Si,2012,0,1,0
Chen Xiaojun,2012,0,1,0
Margalida Crespi,2012,0,0,1
Anastasiya Davydova,2012,1,0,0
Mariya Gromova,2012,1,0,0
Thais Henríquez,2012,0,0,1
Jiang Tingting,2012,0,1,0
Jiang Wenwen,2012,0,1,0
Elvira Khasyanova,2012,1,0,0
Paula Klamburg,2012,0,0,1
Darya Korobova,2012,1,0,0
Luo Xi,2012,0,1,0
Irene Montrucchio,2012,0,0,1
Aleksandra Patskevich,2012,1,0,0
Laia Pons,2012,0,0,1
Alla Shishkina,2012,1,0,0
Sun Wenyan,2012,0,1,0
Anzhelika Timanina,2012,1,0,0
Wu Yiwen,2012,0,1,0
Alba Cabello,2008,0,1,0
Raquel Corral,2008,0,1,0
Mariya Gromova,2008,1,0,0
Gu Beibei,2008,0,0,1
Saho Harada,2008,0,0,1
Thais Henríquez,2008,0,1,0
Huang Xuechen,2008,0,0,1
Nataliya Ishchenko,2008,1,0,0
Jiang Tingting,2008,0,0,1
Jiang Wenwen,2008,0,0,1
Elvira Khasyanova,2008,1,0,0
Olga Kuzhela,2008,1,0,0
Liu Ou,2008,0,0,1
Laura López,2008,0,1,0
Luo Xi,2008,0,0,1
Yelena Ovchinnikova,2008,1,0,0
Irina Rodríguez,2008,0,1,0
Svetlana Romashina,2008,1,0,0
Anna Shorina,2008,1,0,0
Sun Qiuting,2008,0,0,1
Emiko Suzuki,2008,0,0,1
Paola Tirados,2008,0,1,0
Wang Na,2008,0,0,1
Zhang Xiaohuan,2008,0,0,1
Yelena Azarova,2004,1,0,0
Olga Brusnikina,2004,1,0,0
Tammy Crow,2004,0,0,1
Erin Dobratz,2004,0,0,1
Michiyo Fujimaru,2004,0,1,0
Mariya Gromova,2004,1,0,0
Saho Harada,2004,0,1,0
Rebecca Jasontek,2004,0,0,1
Naoko Kawashima,2004,0,1,0
Elvira Khasyanova,2004,1,0,0
Mariya Kiselyova,2004,1,0,0
Kanako Kitao,2004,0,1,0
Sara Lowe,2004,0,0,1
Lauren McFall,2004,0,0,1
Stephanie Nesbitt,2004,0,0,1
Olga Novokshchenova,2004,1,0,0
Anna Shorina,2004,1,0,0
Emiko Suzuki,2004,0,1,0
Juri Tatsumi,2004,0,1,0
Yoko Yoneda,2004,0,1,0
Kendra Zanotto,2004,0,0,1
Yelena Antonova,2000,1,0,0
Yelena Azarova,2000,1,0,0
Lyne Beaumont,2000,0,0,1
Claire Carver-Dias,2000,0,0,1
Erin Chan,2000,0,0,1
Virginie Dedieu,2000,0,0,1
Ayano Egami,2000,0,1,0
Raika Fujii,2000,0,1,0
Catherine Garceau,2000,0,0,1
Yoko Isoda,2000,0,1,0
Rei Jimbo,2000,0,1,0
Fanny Létourneau,2000,0,0,1
Myriam Lignot,2000,0,0,1
Kirstin Normand,2000,0,0,1
Olga Novokshchenova,2000,1,0,0
Yelena Soya,2000,1,0,0
Jacinthe Taillon,2000,0,0,1
Reidun Tatham,2000,0,0,1
Juri Tatsumi,2000,0,1,0
Yuliya Vasilyeva,2000,1,0,0
Olga Vasyukova,2000,1,0,0
Yoko Yoneda,2000,0,1,0
Yuko Yoneda,2000,0,1,0
Alyssa Anderson,2012,1,0,0
Haley Anderson,2012,0,1,0
Angie Bainbridge,2012,0,1,0
Coralie Balmy,2012,0,0,1
Alain Bernard,2012,1,0,0
Charlotte Bonnet,2012,0,0,1
Rachel Bootsma,2012,1,0,0
Cate Campbell,2012,1,0,0
César Cielo Filho,2012,0,0,1
Tyler Clary,2012,1,0,0
Ryan Cochrane,2012,0,1,0
Natalie Coughlin,2012,0,0,1
László Cseh Jr.,2012,0,0,1
Tommaso D'Orsogna,2012,0,0,1
Dai Jun,2012,0,0,1
Inge Dekker,2012,0,1,0
Claire Donahue,2012,1,0,0
Conor Dwyer,2012,1,0,0
Ophélie Etienne,2012,0,0,1
Blair Evans,2012,0,1,0
Margaux Farrell,2012,0,0,1
Jimmy Feigen,2012,0,1,0
Sergey Fesikov,2012,0,0,1
Takuro Fujii,2012,0,1,0
Fabien Gilot,2012,1,0,0
Andrey Grechin,2012,0,0,1
Martina Grimaldi,2012,0,0,1
Dániel Gyurta,2012,1,0,0
Kosuke Hagino,2012,0,0,1
Hao Yun,2012,0,0,1
Brent Hayden,2012,0,0,1
Femke Heemskerk,2012,0,1,0
Natsumi Hoshi,2012,0,0,1
Charlie Houchin,2012,1,0,0
Dan Izotov,2012,0,0,1
Michael Jamieson,2012,0,1,0
Jiang Haiqi,2012,0,0,1
Jiao Liuyang,2012,1,0,0
Leisel Jones,2012,0,1,0
Yuka Kato,2012,0,0,1
Kosuke Kitajima,2012,0,1,0
Yevgeny Korotyshkin,2012,0,1,0
Yolane Kukla,2012,1,0,0
Yevgeny Lagunov,2012,0,0,1
Breeja Larson,2012,1,0,0
Mylene Lazare,2012,0,0,1
Katie Ledecky,2012,1,0,0
Libby Lenton-Trickett,2012,1,0,0
Caitlin Leverenz,2012,0,0,1
Jason Lezak,2012,0,1,0
Li Xuanxu,2012,0,0,1
Li Yunqi,2012,0,0,1
Nikita Lobintsev,2012,0,0,1
Lu Ying,2012,0,1,0
Lu Zhiwu,2012,0,0,1
Thomas Lurz,2012,0,1,0
Grégory Mallet,2012,0,1,0
Florent Manaudou,2012,1,0,0
Tyler McGill,2012,1,0,0
Matt McLean,2012,1,0,0
Ruta Meilutyte,2012,1,0,0
Vladimir Morozov,2012,0,0,1
Lia Neal,2012,0,0,1
Jade Neilsen,2012,0,1,0
Kylie Palmer,2012,0,1,0
Lauren Perdue,2012,1,0,0
Thiago Pereira,2012,0,1,0
Brenton Rickard,2012,0,0,1
Éva Risztov,2012,1,0,0
Hinkelien Schreuder,2012,0,1,0
Eric Shanteau,2012,1,0,0
Hayden Stoeckel,2012,0,0,1
Tang Yi,2012,0,0,1
Matt Targett,2012,0,0,1
Davis Tarwater,2012,1,0,0
Ryo Tateishi,2012,0,0,1
Haruka Ueda,2012,0,0,1
Cameron van der Burgh,2012,1,0,0
Peter Vanderkaay,2012,0,0,1
Shannon Vreeland,2012,1,0,0
Richard Weinberger,2012,0,0,1
Amanda Weir,2012,0,0,1
Yuliya Yefimova,2012,0,0,1
Anastasiya Zuyeva,2012,0,1,0
Nathan Adrian,2008,1,0,0
Angie Bainbridge,2008,1,0,0
Bronte Barratt,2008,1,0,0
Ricky Berens,2008,1,0,0
Fréd Bousquet,2008,0,1,0
Elaine Breeden,2008,0,1,0
Grant Brits,2008,0,0,1
Caroline Burckle,2008,0,0,1
Ashley Callus,2008,0,0,1
Milorad Cavic,2008,0,1,0
Ryan Cochrane,2008,0,0,1
Ian Crocker,2008,1,0,0
Lara Davenport,2008,1,0,0
Dave Davies,2008,0,1,0
Inge Dekker,2008,1,0,0
Ash Delaney,2008,0,1,0
Nick Ffrost,2008,0,0,1
Alessia Filippi,2008,0,1,0
Lotte Friis,2008,0,0,1
Takuro Fujii,2008,0,0,1
Mark Gangloff,2008,1,0,0
Fabien Gilot,2008,0,1,0
Brendan Hansen,2008,1,0,0
Femke Heemskerk,2008,1,0,0
Lara Ilchenko,2008,1,0,0
Sara Isakovic,2008,0,1,0
Dan Izotov,2008,0,1,0
Jo Jackson,2008,0,0,1
Larsen Jensen,2008,0,0,1
Jiao Liuyang,2008,0,1,0
Cullen Jones,2008,1,0,0
Mirna Jukic,2008,0,0,1
Klete Keller,2008,1,0,0
Ranomi Kromowidjojo,2008,1,0,0
Yevgeny Lagunov,2008,0,1,0
Liu Zige,2008,1,0,0
Nikita Lobintsev,2008,0,1,0
Thomas Lurz,2008,0,0,1
Linda MacKenzie,2008,1,0,0
Grégory Mallet,2008,0,1,0
Christine Marshall,2008,0,0,1
Takeshi Matsuda,2008,0,0,1
Oussama Mellouli,2008,1,0,0
Alice Mills,2008,0,0,1
Junichi Miyashita,2008,0,0,1
Reiko Nakamura,2008,0,0,1
Sara Nordenstam,2008,0,0,1
Lacey Nymeyer,2008,0,1,0
Alexander Dale Oen,2008,0,1,0
Kirk Palmer,2008,0,0,1
Kylie Palmer,2008,1,0,0
Cassie Patten,2008,0,0,1
Keri-Anne Payne,2008,0,1,0
Federica Pellegrini,2008,1,0,0
Adam Pine,2008,0,1,0
Mikhail Polishchuk,2008,0,1,0
Megan Quann-Jendrick,2008,0,1,0
Hisayoshi Sato,2008,0,0,1
Allison Schmitt,2008,0,0,1
Hinkelien Schreuder,2008,1,0,0
Emily Seebohm,2008,1,0,0
Emily Silver,2008,0,1,0
Christian Sprenger,2008,0,1,0
Boris Steimetz,2008,0,1,0
Aleksandr Sukhorukov,2008,0,1,0
Sun Ye,2008,0,0,1
Tan Miao,2008,0,1,0
Tang Jingzhi,2008,0,1,0
Maarten van der Weijden,2008,1,0,0
Manon van Rooijen,2008,1,0,0
Kim Vandenberg,2008,0,0,1
Marleen Veldhuis,2008,1,0,0
Erik Vendt,2008,1,0,0
Dave Walters,2008,1,0,0
Tarnee White,2008,1,0,0
Ben Wildman-Tobriner,2008,1,0,0
Xu Tianlongzi,2008,0,0,1
Yang Yu,2008,0,1,0
Zhang Lin,2008,0,1,0
Zhao Jing,2008,0,0,1
Zhou Yafei,2008,0,0,1
Zhu Qianwei,2008,0,1,0
Georgina Bardach,2004,0,0,1
George Bovell,2004,0,0,1
Emiliano Brembilla,2004,0,0,1
Federico Cappellazzo,2004,0,0,1
Simone Cercato,2004,0,0,1
Lars Conrad,2004,0,1,0
Haley Cope,2004,0,1,0
Ritz Correia,2004,0,1,0
László Cseh Jr.,2004,0,0,1
Petra Dallmann,2004,0,0,1
Dave Davies,2004,0,0,1
Inge Dekker,2004,0,0,1
Duje Draganja,2004,0,1,0
Steffen Driesen,2004,0,1,0
Hugues Duboscq,2004,0,0,1
Nate Dusing,2004,0,0,1
Lyndon Ferns,2004,1,0,0
Solenne Figuès,2004,0,0,1
Razvan Florea,2004,0,0,1
Mark Gangloff,2004,1,0,0
Scott Goldblatt,2004,1,0,0
Daniela Götz,2004,0,0,1
Janina-Kristin Götz,2004,0,0,1
Chantal Groot,2004,0,0,1
Dániel Gyurta,2004,0,1,0
Sara Harstick,2004,0,0,1
Rhi Jeffrey,2004,1,0,0
Larsen Jensen,2004,0,1,0
Johan Kenkhuis,2004,0,1,0
Dan Ketchum,2004,1,0,0
Tara Kirk,2004,0,1,0
Michael Klim,2004,0,1,0
Stanislava Komarova,2004,0,1,0
Annabel Kosten,2004,0,0,1
Lenny Krayzelburg,2004,1,0,0
Jens Kruppa,2004,0,1,0
Colleen Lanne,2004,0,1,0
Li Ji,2004,0,1,0
Luo Xuejuan,2004,1,0,0
Filippo Magnini,2004,0,0,1
Antony Matkovich,2004,0,1,0
Helge Meeuw,2004,0,1,0
Malia Metella,2004,0,1,0
Diana Munz,2004,0,0,1
Reiko Nakamura,2004,0,0,1
Yuko Nakanishi,2004,0,0,1
Ryk Neethling,2004,1,0,0
Yoshihiro Okumura,2004,0,0,1
Pang Jiaying,2004,0,1,0
Steve Parry,2004,0,0,1
Todd Pearson,2004,0,1,0
Federica Pellegrini,2004,0,1,0
Matteo Pelliciari,2004,0,0,1
Carly Piper,2004,1,0,0
Sarah Poewe,2004,0,0,1
Anne Poleska,2004,0,0,1
Camelia Potec,2004,1,0,0
Giaan Rooney,2004,1,0,0
Massimiliano Rosolino,2004,0,0,1
Thomas Rupprath,2004,0,1,0
Sarah Ryan,2004,1,0,0
Jess Schipper,2004,1,0,0
Andriy Serdinov,2004,0,0,1
Ai Shibata,2004,1,0,0
Nicholas Sprenger,2004,0,1,0
Craig Stevens,2004,0,1,0
Hannah Stockbauer,2004,0,0,1
Darian Townsend,2004,1,0,0
Peter Vanderkaay,2004,1,0,0
Mark Veens,2004,0,1,0
Marleen Veldhuis,2004,0,0,1
Erik Vendt,2004,0,1,0
Dana Vollmer,2004,1,0,0
Gabe Woodward,2004,0,0,1
Xu Yanwei,2004,0,1,0
Yang Yu,2004,0,1,0
Mitja Zastrow,2004,0,1,0
Zhu Yingwen,2004,0,1,0
Klaas-Erik Zwering,2004,0,1,0
Sam Arsenault,2000,1,0,0
Amanda Beard,2000,0,0,1
B. J. Bedford,2000,1,0,0
Lindsay Benko,2000,1,0,0
Kim Black,2000,1,0,0
Gustavo Borges,2000,0,0,1
Antje Buschschulte,2000,0,0,1
Ashley Callus,2000,1,0,0
Dyana Calub,2000,0,1,0
Chad Carvin,2000,0,1,0
Ian Crocker,2000,1,0,0
Nate Dusing,2000,0,1,0
Meike Freitag,2000,0,0,1
Lars Frölander,2000,1,0,0
Chris Fydler,2000,1,0,0
Scott Goldblatt,2000,0,1,0
Elka Graham,2000,0,1,0
Chantal Groot,2000,0,1,0
Tommy Hannan,2000,1,0,0
Regan Harrison,2000,0,1,0
Sara Harstick,2000,0,0,1
Thamar Henneken,2000,0,1,0
Penny Heyns,2000,0,0,1
Misty Hyman,2000,1,0,0
Carlos Jayme,2000,0,0,1
Louise Jöhncke,2000,0,0,1
Anna-Karin Kammerling,2000,0,0,1
Johan Kenkhuis,2000,0,0,1
Kerstin Kielgaß,2000,0,0,1
Bill Kirby,2000,1,0,0
Ágnes Kovács,2000,1,0,0
Kristy Kowal,2000,0,1,0
Daniel Kowalski,2000,1,0,0
Jens Kruppa,2000,0,0,1
Josefin Lillhage,2000,0,0,1
Tom Malchow,2000,1,0,0
Roxana Maracineanu,2000,0,1,0
Sumika Minamoto,2000,0,0,1
Ryan Mitchell,2000,0,1,0
Curtis Myden,2000,0,0,1
Miki Nakao,2000,0,0,1
Justin Norris,2000,0,0,1
Junko Onishi,2000,0,0,1
Terence Parkin,2000,0,1,0
Aaron Peirsol,2000,0,1,0
Kieren Perkins,2000,0,1,0
Erin Phenix,2000,1,0,0
Aleksandr Popov,2000,0,1,0
Jamie Rauch,2000,0,1,0
Davide Rummolo,2000,0,0,1
Thomas Rupprath,2000,0,0,1
Sarah Ryan,2000,0,1,0
Kaitlin Sandeno,2000,0,0,1
Xuxa Scherer,2000,0,0,1
Edvaldo Silva Filho,2000,0,0,1
Johanna Sjöberg,2000,0,0,1
Roman Sludnov,2000,0,0,1
Torsten Spanneberg,2000,0,0,1
Britta Steffen,2000,0,0,1
Staciana Stitts,2000,1,0,0
Julia Stowers,2000,1,0,0
Malin Svahnström,2000,0,0,1
Denys Sylantiev,2000,0,1,0
Yasuko Tajima,2000,0,1,0
Masami Tanaka,2000,0,0,1
Cristina Teuscher,2000,0,0,1
Chris Thompson,2000,0,0,1
Kirsten Thomson,2000,0,1,0
Scott Tucker,2000,0,1,0
Franziska van Almsick,2000,0,0,1
Mark van der Zijden,2000,0,0,1
Jacinta Van Lint,2000,0,1,0
Wilma van Rijn-van Hofwegen,2000,0,1,0
Manon van Rooijen,2000,0,1,0
Erik Vendt,2000,0,1,0
Josh Watson,2000,0,1,0
Tarnee White,2000,0,1,0
Tom Wilkens,2000,0,0,1
Marcel Wouda,2000,0,0,1
Nina Zhivanevskaya,2000,0,0,1
Martijn Zuijdweg,2000,0,0,1
Guillaume Bastille,2010,1,0,0
Allison Baver,2010,0,0,1
Simon Cho,2010,0,0,1
Kimberly Derrick,2010,0,0,1
Aly Dudek,2010,0,0,1
Arianna Fontana,2010,0,0,1
Lana Gehring,2010,0,0,1
Jessica Gregg,2010,0,1,0
Gwak Yun-Gi,2010,0,1,0
François Hamelin,2010,1,0,0
Travis Jayner,2010,0,0,1
Olivier Jean,2010,1,0,0
Kim Seong-Il,2010,0,1,0
Lee Eun-Byeol,2010,0,1,0
Jordan Malone,2010,0,0,1
Kalyna Roberge,2010,0,1,0
Sun Linlin,2010,1,0,0
Tania Vicent,2010,0,1,0
Zhang Hui,2010,1,0,0
Éric Bédard,2006,0,1,0
Byeon Cheon-Sa,2006,1,0,0
Marta Capurso,2006,0,0,1
Arianna Fontana,2006,0,0,1
Gang Yun-Mi,2006,1,0,0
Jonathan Guilmette,2006,0,1,0
Charles Hamelin,2006,0,1,0
Alex Izykowski,2006,0,0,1
Jeon Da-Hye,2006,1,0,0
J. P. Kepka,2006,0,0,1
Alanna Kraus,2006,0,1,0
Li Jiajun,2006,0,0,1
O Se-Jong,2006,1,0,0
Amanda Overland,2006,0,1,0
Evgeniya Radanova,2006,0,1,0
Kalyna Roberge,2006,0,1,0
Seo Ho-Jin,2006,1,0,0
Rusty Smith,2006,0,0,1
Song Seog-U,2006,1,0,0
Mathieu Turcotte,2006,0,1,0
Tania Vicent,2006,0,1,0
Yang Yang (A),2006,0,0,1
Katia Zini,2006,0,0,1
Mara Zini,2006,0,0,1
An Yulong,2002,0,0,1
Michele Antonioli,2002,0,1,0
Éric Bédard,2002,1,0,0
Steven Bradbury,2002,1,0,0
Maurizio Carnino,2002,0,1,0
Fabio Carta,2002,0,1,0
Isabelle Charest,2002,0,0,1
Choi Min-Kyung,2002,1,0,0
Marie-Eve Drolet,2002,0,0,1
Feng Kai,2002,0,0,1
Nicola Franceschina,2002,0,1,0
Amélie Goulet-Nadon,2002,0,0,1
Guo Wei,2002,0,0,1
Ju Min-Jin,2002,1,0,0
Alanna Kraus,2002,0,0,1
Li Ye,2002,0,0,1
Park Hye-Won,2002,1,0,0
Nicola Rodigari,2002,0,1,0
Rusty Smith,2002,0,0,1
Sun Dandan,2002,0,1,0
François-Louis Tremblay,2002,1,0,0
Tania Vicent,2002,0,0,1
Daniela Anschütz-Thoms,2010,1,0,0
Jan Blokhuijsen,2010,0,0,1
Håvard Bøkko,2010,0,0,1
Bob de Jong,2010,0,0,1
Anni Friesinger-Postma,2010,1,0,0
Annette Gerritsen,2010,0,1,0
Mathieu Giroux,2010,1,0,0
Brian Hansen,2010,0,1,0
Masako Hozumi,2010,0,1,0
Clara Hughes,2010,0,0,1
Joji Kato,2010,0,0,1
Nao Kodaira,2010,0,1,0
Jonathan Kuck,2010,0,1,0
Simon Kuipers,2010,0,0,1
Lee Sang-Hwa,2010,1,0,0
Lucas Makowsky,2010,1,0,0
Trevor Marsicano,2010,0,1,0
Katrin Mattscherodt,2010,1,0,0
Denny Morrison,2010,1,0,0
Keiichiro Nagashima,2010,0,1,0
Christine Nesbitt,2010,1,0,0
Maki Tabata,2010,0,1,0
Laurine van Riessen,2010,0,0,1
Wang Beixing,2010,0,0,1
Katarzyna Wójcicka-Bachleda-Curus,2010,0,0,1
Jenny Wolf,2010,0,1,0
Katarzyna Wozniak,2010,0,0,1
Ireen Wüst,2010,1,0,0
Luiza Zlotkowska,2010,0,0,1
Yekaterina Abramova,2006,0,0,1
Matteo Anesi,2006,1,0,0
Daniela Anschütz-Thoms,2006,1,0,0
Varvara Barysheva,2006,0,0,1
Svetlana Boyarkina-Zhurova,2006,1,0,0
Arne Dankers,2006,0,1,0
Bob de Jong,2006,1,0,0
Stefano Donagrandi,2006,1,0,0
Dmitry Dorofeyev,2006,0,1,0
Steven Elm,2006,0,1,0
Renate Groenewold,2006,0,1,0
Lee Gang-Seok,2006,0,0,1
Galina Likhachova,2006,0,0,1
Yekaterina Lobysheva,2006,0,0,1
Denny Morrison,2006,0,1,0
Christine Nesbitt,2006,0,1,0
Lucille Opitz,2006,1,0,0
Jason Parker,2006,0,1,0
Shannon Rempel,2006,0,1,0
Ren Hui,2006,0,0,1
Rintje Ritsma,2006,0,0,1
Ippolito Sanfratello,2006,1,0,0
Marianne Timmer,2006,1,0,0
Mark Tuitert,2006,0,0,1
Sabine Völker,2006,1,0,0
Svetlana Vysokova,2006,0,0,1
Wang Manli,2006,0,1,0
Justin Warsylewicz,2006,0,1,0
Jens Boden,2002,0,0,1
Jan Bos,2002,0,1,0
Kip Carpenter,2002,0,0,1
Joey Cheek,2002,0,0,1
Casey FitzRandolph,2002,1,0,0
Anni Friesinger-Postma,2002,1,0,0
Monique Garbrecht-Enfeldt,2002,0,1,0
Renate Groenewold,2002,0,1,0
Clara Hughes,2002,0,0,1
Cindy Klassen,2002,0,0,1
Catriona Le May Doan,2002,1,0,0
Gianni Romme,2002,0,1,0
Hiroyasu Shimizu,2002,0,1,0
Gretha Smit,2002,0,1,0
Lasse Sætre,2002,0,0,1
Ådne Søndrål,2002,0,0,1
Gerard van Velde,2002,1,0,0
Chris Witty,2002,1,0,0
Monica Abbott,2008,0,1,0
Sandy Allen-Lewis,2008,0,0,1
Laura Berg,2008,0,1,0
Jodie Bowering,2008,0,0,1
Crystl Bustos,2008,0,1,0
Kylie Cronk,2008,0,0,1
Andrea Duran,2008,0,1,0
Naho Emoto,2008,1,0,0
Jennie Finch,2008,0,1,0
Tairia Flowers,2008,0,1,0
Motoko Fujimoto,2008,1,0,0
Vicky Galindo,2008,0,1,0
Kelly Hardie,2008,0,0,1
Tanya Harding,2008,0,0,1
Megu Hirose,2008,1,0,0
Emi Inui,2008,1,0,0
Sachiko Ito,2008,1,0,0
Lovie Jung,2008,0,1,0
Ayumi Karino,2008,1,0,0
Kelly Kretschman,2008,0,1,0
Lauren Lappin,2008,0,1,0
Caitlin Lowe,2008,0,1,0
Satoko Mabuchi,2008,1,0,0
Jessica Mendoza,2008,0,1,0
Yukiyo Mine,2008,1,0,0
Masumi Mishina,2008,1,0,0
Simmone Morrow,2008,0,0,1
Tracey Mosley,2008,0,0,1
Rei Nishiyama,2008,1,0,0
Stacey Nuveman,2008,0,1,0
Cat Osterman,2008,0,1,0
Stacey Porter,2008,0,0,1
Melanie Roche,2008,0,0,1
Hiroko Sakai,2008,1,0,0
Rie Sato,2008,1,0,0
Justine Smethurst,2008,0,0,1
Mika Someya,2008,1,0,0
Danielle Stewart,2008,0,0,1
Natalie Titcume,2008,0,0,1
Yukiko Ueno,2008,1,0,0
Natalie Ward,2008,0,0,1
Natasha Watley,2008,0,1,0
Belinda Wright,2008,0,0,1
Kerry Wyborn,2008,0,0,1
Eri Yamada,2008,1,0,0
Sandy Allen-Lewis,2004,0,1,0
Laura Berg,2004,1,0,0
Crystl Bustos,2004,1,0,0
Marissa Carpadios,2004,0,1,0
Amanda Doman,2004,0,1,0
Peta Edebone,2004,0,1,0
Lisa Fernandez,2004,1,0,0
Jennie Finch,2004,1,0,0
Tairia Flowers,2004,1,0,0
Amanda Freed,2004,1,0,0
Fiona Hanes-Crawford,2004,0,1,0
Tanya Harding,2004,0,1,0
Lori Harrigan,2004,1,0,0
Natalie Hodgskin,2004,0,1,0
Kazue Ito,2004,0,0,1
Yumi Iwabuchi,2004,0,0,1
Lovie Jung,2004,1,0,0
Kelly Kretschman,2004,1,0,0
Jessica Mendoza,2004,1,0,0
Masumi Mishina,2004,0,0,1
Simmone Morrow,2004,0,1,0
Tracey Mosley,2004,0,1,0
Emi Naito,2004,0,0,1
Stacey Nuveman,2004,1,0,0
Leah O'Brien-Amico,2004,1,0,0
Cat Osterman,2004,1,0,0
Stacey Porter,2004,0,1,0
Melanie Roche,2004,0,1,0
Haruka Saito,2004,0,0,1
Hiroko Sakai,2004,0,0,1
Naoko Sakamoto,2004,0,0,1
Rie Sato,2004,0,0,1
Yuki Sato,2004,0,0,1
Juri Takayama,2004,0,0,1
Natalie Titcume,2004,0,1,0
Jenny Topping,2004,1,0,0
Yukiko Ueno,2004,0,0,1
Reika Utsugi,2004,0,0,1
Natalie Ward,2004,0,1,0
Natasha Watley,2004,1,0,0
Brooke Wilkins,2004,0,1,0
Kerry Wyborn,2004,0,1,0
Eri Yamada,2004,0,0,1
Noriko Yamaji,2004,0,0,1
Sandy Allen-Lewis,2000,0,0,1
Christie Ambrosi,2000,1,0,0
Misako Ando,2000,0,1,0
Laura Berg,2000,1,0,0
Jo Brown,2000,0,0,1
Jennifer Brundage,2000,1,0,0
Crystl Bustos,2000,1,0,0
Sheila Cornell-Douty,2000,1,0,0
Kerry Dienelt,2000,0,0,1
Peta Edebone,2000,0,0,1
Sue Fairhurst,2000,0,0,1
Lisa Fernandez,2000,1,0,0
Selina Follas,2000,0,0,1
Yumiko Fujii,2000,0,1,0
Fiona Hanes-Crawford,2000,0,0,1
Kelly Hardie,2000,0,0,1
Tanya Harding,2000,0,0,1
Lori Harrigan,2000,1,0,0
Danielle Henderson,2000,1,0,0
Taeko Ishikawa,2000,0,1,0
Kazue Ito,2000,0,1,0
Yoshimi Kobayashi,2000,0,1,0
Shiori Koseki,2000,0,1,0
Mariko Masubuchi,2000,0,1,0
Naomi Matsumoto,2000,0,1,0
Sally McDermid-McCreedy,2000,0,0,1
Jennifer McFalls,2000,1,0,0
Simmone Morrow,2000,0,0,1
Emi Naito,2000,0,1,0
Stacey Nuveman,2000,1,0,0
Leah O'Brien-Amico,2000,1,0,0
Dot Richardson,2000,1,0,0
Melanie Roche,2000,0,0,1
Haruka Saito,2000,0,1,0
Michele Smith,2000,1,0,0
Juri Takayama,2000,0,1,0
Hiroko Tamoto,2000,0,1,0
Natalie Titcume,2000,0,0,1
Reika Utsugi,2000,0,1,0
Michelle Venturella,2000,1,0,0
Natalie Ward,2000,0,0,1
Brooke Wilkins,2000,0,0,1
Christa Williams,2000,1,0,0
Miyo Yamada,2000,0,1,0
Noriko Yamaji,2000,0,1,0
Jasey-Jay Anderson,2010,1,0,0
Déborah Anthonioz,2010,0,1,0
Mathieu Bozzetto,2010,0,0,1
Torah Bright,2010,1,0,0
Kelly Clark,2010,0,0,1
Yekaterina Ilyukhina,2010,0,1,0
Benjamin Karl,2010,0,1,0
Marion Kreiner,2010,0,0,1
Scotty Lago,2010,0,0,1
Olivia Nobs,2010,0,0,1
Peetu Piiroinen,2010,0,1,0
Tony Ramoin,2010,0,0,1
Maëlle Ricker,2010,1,0,0
Mike Robertson,2010,0,1,0
Nicolien Sauerbreij,2010,1,0,0
Hannah Teter,2010,0,1,0
Seth Wescott,2010,1,0,0
Shaun White,2010,1,0,0
Gretchen Bleiler,2006,0,1,0
Kjersti Buaas,2006,0,0,1
Paul-Henri De Le Rue,2006,0,0,1
Rosey Fletcher,2006,0,0,1
Tanja Frieden,2006,1,0,0
Sigi Grabner,2006,0,0,1
Lindsey Jacobellis,2006,0,1,0
Danny Kass,2006,0,1,0
Amelie Kober,2006,0,1,0
Markku Koski,2006,0,0,1
Dominique Maltais,2006,0,0,1
Daniela Meuli,2006,1,0,0
Philipp Schoch,2006,1,0,0
Simon Schoch,2006,0,1,0
Hannah Teter,2006,1,0,0
Seth Wescott,2006,1,0,0
Shaun White,2006,1,0,0
Radoslav Židek,2006,0,1,0
Isabelle Blanc,2002,1,0,0
Kelly Clark,2002,1,0,0
Danny Kass,2002,0,1,0
Chris Klug,2002,0,0,1
Ross Powers,2002,1,0,0
Fabienne Reuteler,2002,0,0,1
Richard Richardsson,2002,0,1,0
Karine Ruby,2002,0,1,0
Philipp Schoch,2002,1,0,0
JJ Thomas,2002,0,0,1
Lidia Trettel,2002,0,0,1
Doriane Vidal,2002,0,1,0
Anders Bardal,2010,0,0,1
Johan Remen Evensen,2010,0,0,1
Tom Hilde,2010,0,0,1
Anders Jacobsen,2010,0,0,1
Andreas Kofler,2010,1,0,0
Wolfgang Loitzl,2010,1,0,0
Thomas Morgenstern,2010,1,0,0
Michael Neumayer,2010,0,1,0
