Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Viktoriya Azarenko,2012,1,0,1
Mike Bryan,2012,1,0,1
Andy Murray,2012,1,1,0
Serena Williams,2012,2,0,0
Fernando González,2004,1,0,1
Nicolás Massú,2004,2,0,0
Venus Williams,2000,2,0,0
Ona Carbonell,2012,0,1,1
Andrea Fuentes,2012,0,1,1
Huang Xuechen,2012,0,1,1
Nataliya Ishchenko,2012,2,0,0
Liu Ou,2012,0,1,1
Svetlana Romashina,2012,2,0,0
Anastasiya Davydova,2008,2,0,0
Andrea Fuentes,2008,0,2,0
Gemma Mengual,2008,0,2,0
Anastasiya Yermakova,2008,2,0,0
Alison Bartosik,2004,0,0,2
Anastasiya Davydova,2004,2,0,0
Anna Kozlova,2004,0,0,2
Miya Tachibana,2004,0,2,0
Miho Takeda,2004,0,2,0
Anastasiya Yermakova,2004,2,0,0
Olga Brusnikina,2000,2,0,0
Mariya Kiselyova,2000,2,0,0
Miya Tachibana,2000,0,2,0
Miho Takeda,2000,0,2,0
Becky Adlington,2012,0,0,2
Bronte Barratt,2012,0,1,1
Elizabeth Beisel,2012,0,1,1
Mireia Belmonte,2012,0,2,0
Ricky Berens,2012,1,1,0
Aleksandra Gerasimenya,2012,0,2,0
Brendan Hansen,2012,1,0,1
Jessica Hardy,2012,1,0,1
Chad le Clos,2012,1,1,0
Clément Lefert,2012,1,1,0
Amaury Leveaux,2012,1,1,0
James Magnussen,2012,0,1,1
Takeshi Matsuda,2012,0,1,1
Oussama Mellouli,2012,1,0,1
Park Tae-Hwan,2012,0,2,0
Christian Sprenger,2012,0,1,1
Jeremy Stravius,2012,1,1,0
Aya Terakawa,2012,0,0,2
Nick Thoman,2012,1,1,0
Marleen Veldhuis,2012,0,1,1
Ye Shiwen,2012,2,0,0
Becky Adlington,2008,2,0,0
Leith Brodie,2008,0,0,2
Cate Campbell,2008,0,0,2
César Cielo Filho,2008,1,0,1
Hugues Duboscq,2008,0,0,2
Felicity Galvez,2008,2,0,0
Grant Hackett,2008,0,1,1
Kara Lynn Joyce,2008,0,2,0
Amaury Leveaux,2008,0,2,0
Christine Magnuson,2008,0,2,0
Patrick Murphy,2008,0,0,2
Park Tae-Hwan,2008,1,1,0
Shayne Reese,2008,1,0,1
Brenton Rickard,2008,0,2,0
Mel Schlanger,2008,1,0,1
Julia Smit,2008,0,1,1
Britta Steffen,2008,2,0,0
Hayden Stoeckel,2008,0,1,1
Matt Targett,2008,0,1,1
Peter Vanderkaay,2008,1,0,1
Arkady Vyachanin,2008,0,0,2
Garrett Weber-Gale,2008,2,0,0
Lindsay Benko,2004,1,1,0
Gary Hall Jr.,2004,1,0,1
Brooke Hanson,2004,1,1,0
Kara Lynn Joyce,2004,0,2,0
Klete Keller,2004,1,0,1
Yana Klochkova,2004,2,0,0
Rachel Komisarz,2004,1,1,0
Libby Lenton-Trickett,2004,1,0,1
Jason Lezak,2004,1,0,1
Ryan Lochte,2004,1,1,0
Alice Mills,2004,2,0,0
Tomomi Morita,2004,0,0,2
Markus Rogan,2004,0,2,0
Jenny Thompson,2004,0,2,0
Franziska van Almsick,2004,0,0,2
Neil Walker,2004,1,0,1
Amanda Weir,2004,0,2,0
Takashi Yamamoto,2004,0,1,1
Brooke Bennett,2000,2,0,0
Beatrice Coada-Caslaru,2000,0,1,1
Josh Davis,2000,0,2,0
Tom Dolan,2000,1,1,0
Anthony Ervin,2000,1,1,0
Domenico Fioravanti,2000,2,0,0
Grant Hackett,2000,2,0,0
Geoff Huegill,2000,0,1,1
Leisel Jones,2000,0,2,0
Klete Keller,2000,0,1,1
Jason Lezak,2000,1,1,0
Diana Mocanu,2000,2,0,0
Martina Moravcová,2000,0,2,0
Ed Moses,2000,1,1,0
Diana Munz,2000,1,1,0
Mai Nakamura,2000,0,1,1
Todd Pearson,2000,2,0,0
Adam Pine,2000,1,1,0
Claudia Poll,2000,0,0,2
Megan Quann-Jendrick,2000,2,0,0
Giaan Rooney,2000,0,2,0
Courtney Shealy,2000,2,0,0
Ashley Tappin,2000,2,0,0
Stev Theloke,2000,0,0,2
Amy Van Dyken,2000,2,0,0
Neil Walker,2000,1,1,0
J. R. Celski,2010,0,0,2
Charles Hamelin,2010,2,0,0
Lee Ho-Seok,2010,0,2,0
Park Seung-Hui,2010,0,0,2
Katherine Reutter,2010,0,1,1
Seong Si-Baek,2010,0,2,0
Marianne St-Gelais,2010,0,2,0
François-Louis Tremblay,2010,1,0,1
Zhou Yang,2010,2,0,0
Choi Eun-Gyeong,2006,1,1,0
Anouk Leblanc-Boucher,2006,0,1,1
François-Louis Tremblay,2006,0,2,0
Choi Eun-Gyeong,2002,1,1,0
Go Gi-Hyeon,2002,1,1,0
Jonathan Guilmette,2002,1,1,0
Li Jiajun,2002,0,1,1
Apolo Anton Ohno,2002,1,1,0
Evgeniya Radanova,2002,0,1,1
Mathieu Turcotte,2002,1,0,1
Wang Chunlu,2002,0,1,1
Yang Yang (S),2002,0,1,1
Shani Davis,2010,1,1,0
Kristina Groves,2010,0,1,1
Chad Hedrick,2010,0,1,1
Sven Kramer,2010,1,0,1
Lee Seung-Hun,2010,1,1,0
Mo Tae-Beom,2010,1,1,0
Ivan Skobrev,2010,0,1,1
Mark Tuitert,2010,1,0,1
Joey Cheek,2006,1,1,0
Shani Davis,2006,1,1,0
Anni Friesinger-Postma,2006,1,0,1
Kristina Groves,2006,0,2,0
Clara Hughes,2006,1,1,0
Sven Kramer,2006,0,1,1
Claudia Pechstein,2006,1,1,0
Carl Verheijen,2006,0,0,2
Erben Wennemars,2006,0,0,2
Ireen Wüst,2006,1,0,1
Derek Parra,2002,1,1,0
Claudia Pechstein,2002,2,0,0
Jennifer Rodriguez,2002,0,0,2
Simon Ammann,2010,2,0,0
Adam Malysz,2010,0,2,0
Matti Hautamäki,2006,0,2,0
Andreas Kofler,2006,1,1,0
Roar Ljøkelsøy,2006,0,0,2
Thomas Morgenstern,2006,2,0,0
Simon Ammann,2002,2,0,0
Sven Hannawald,2002,1,1,0
Matti Hautamäki,2002,0,1,1
Adam Malysz,2002,0,1,1
Niccolò Campriani,2012,1,1,0
Jin Jong-O,2012,2,0,0
Olena Kostevych,2012,0,0,2
Jin Jong-O,2008,1,1,0
